method,arxiv_id,venue,year,category,core_innovation,code_url
3D Representation Survey,2606.04871,arXiv,2026,Foundation,Recent advances in learning-based 3D representations; paradigm shift from explicit to implicit/splatting,
3DGEER,,ICLR 2026,2026,Foundation,Exact ray-Gaussian integration replacing splatting approximation for fisheye/equirectangular cameras with closed-form 3D mean integral,https://github.com/boschresearch/3dgeer
3DSGS,2605.18334,arXiv 2026,2026,Foundation,General 3D Skew Gaussian primitives with re-derived CUDA rasterization for asymmetric shape modeling,
Argus,,arXiv,2026,Foundation,Image-derived LiDAR-level pose constraints for 3DGS without LiDAR; consumer-grade 3DGS applications (如视),
Cookbook of 3D Vision,2606.04291,arXiv 2026,2026,Foundation,"Data-centric taxonomy of 3D vision: point clouds, meshes, voxels, 3D Gaussians; dataset design",
DP-GES,2605.25345,arXiv,2026,Foundation,Depth peeling for high-fidelity Gaussian-enhanced surfel rendering; resolves transparency ordering,
E3DGS,2607.15536,arXiv 2026,2026,Foundation,Unified geometric-photometric equivariance for 3DGS via Color-as-Geometry embedding; builds SE(3)-equivariant architectures on Gaussian primitives by treating color as geometry,
Fast 3D Foundation Model Initialized GS,,arXiv,2026,Foundation,3D foundation model replacing SfM for pose/point cloud initialization; joint pose-Gaussian optimization; ~3 min/scene training,
MetaPoint,2606.05031,arXiv,2026,Foundation,Precise spatial control in agentic visual generation; represents continuous 2D coordinate as special token,
Neural 3D Mesh Texturing Survey,2606.00137,arXiv,2026,Foundation,Comprehensive survey on neural 3D mesh texturing (synthesis/transfer/completion); GAN to diffusion,
PRISM3D,,arXiv,2026,Foundation,First framework bootstrapping 3DGS from extreme motion blur; MCMC probabilistic densification + continuous Bezier trajectory physics modeling,
PureLight,2606.04319,arXiv,2026,Foundation,Learning complex luminaires with light tracing; forward light tracing for efficient difficult light paths,
SalientGS,2607.11285,,2026,Foundation,Unified SfM-to-3DGS pipeline with importance-guided MCMC Gaussian allocation; reallocates capacity from well-fit to underfit regions; 15-min end-to-end SOTA,
SAM 3D,,CVPR 2026 Honorable Mention,2026,Foundation,Foundation model for single-image 3D reconstruction; generalizable 3D prior enables diverse downstream tasks,
SNS,2605.15010,arXiv,2026,Foundation,3D Gaussian Splatting (3DGS) has emerged as a leading representation for real-time novel view synthesis and has been widely adopted in various downstream applications. The core strength of 3DGS lie...,
Softmax-GS,2604.27437,CVPR 2026 Findings,2026,Foundation,Learnable softmax-based competition replacing α-compositing,
Topo-GS,2605.17011,arXiv 2026,2026,Foundation,Topological GS for high-dimensional data embedding; ARAP prior + tangent space alignment via Procrustes; topology-aware loss,
